pair_idx,gamma_n,gamma_n1,g,t0,far,S_on,h_thr,r,H,H_over_halfgap,n_sign_changes
199387,8436205605.705896377563,8436205605.731153488159,2.525711059570e-02,8436205605.718524932861,39.4963835642,12580.2216905669,1.2608715649e-02,0.9984289851,0.2250278817,17.8189726667,0
199563,8436205658.297769546509,8436205658.332561492920,3.479194641113e-02,8436205658.315165519714,21.1708366819,6630.1218913591,1.7368177203e-02,0.9984021588,0.3073590371,17.6684013835,0
199825,8436205736.509063720703,8436205736.545283317566,3.621959686279e-02,8436205736.527173995972,18.8347018687,6117.0501345040,1.8081896452e-02,0.9984592882,0.3258634286,17.9937634246,0
199879,8436205752.716565132141,8436205752.749601364136,3.303623199463e-02,8436205752.733083724976,38.4144519386,7368.4988057489,1.6475002497e-02,0.9973899263,0.2281747992,13.8136092085,0
200970,8436206078.930586814880,8436206078.947699546814,1.711273193359e-02,8436206078.939143180847,30.2298555549,27348.3802993292,8.5516357191e-03,0.9994471663,0.2572153969,30.0612897888,0
201357,8436206194.582155227661,8436206194.614789962769,3.263473510742e-02,8436206194.598472595215,26.9909887487,7538.5451519878,1.6288130028e-02,0.9982081959,0.2722109560,16.6822837741,0
201467,8436206227.380033493042,8436206227.413127899170,3.309440612793e-02,8436206227.396580696106,19.8028130338,7324.1398235675,1.6524817981e-02,0.9986471984,0.3177982887,19.2055592398,0
201733,8436206306.989674568176,8436206307.030246734619,4.057216644287e-02,8436206307.009960174561,40.4044541434,4900.3744725275,2.0202278947e-02,0.9958688785,0.2224848155,10.9673618638,0
202298,8436206475.861493110657,8436206475.896372795105,3.487968444824e-02,8436206475.878932952881,36.7782048719,6612.5221303729,1.7391275246e-02,0.9972151710,0.2331952683,13.3714092868,0
202812,8436206629.615135192871,8436206629.635554313660,2.041912078857e-02,8436206629.625345230103,28.8135309261,19216.2038645027,1.0201903215e-02,0.9992499991,0.2634612554,25.8053476597,0
203339,8436206787.074945449829,8436206787.115074157715,4.012870788574e-02,8436206787.095009803772,15.5995612214,4983.5772297857,2.0032926675e-02,0.9984336765,0.3580624726,17.8457015689,0
203570,8436206856.175293922424,8436206856.214135169983,3.884124755859e-02,8436206856.194714546204,30.9616589937,5333.7420969402,1.9364174679e-02,0.9970933426,0.2541574745,13.0869882113,0
203596,8436206863.888978958130,8436206863.932662010193,4.368305206299e-02,8436206863.910820007324,20.6151377496,4213.0279408683,2.1788023155e-02,0.9975504057,0.3114740553,14.2606361318,0
203827,8436206932.771686553955,8436206932.810503005981,3.881645202637e-02,8436206932.791094779968,69.9963515089,5379.5536715277,1.9281547004e-02,0.9934729218,0.1690352562,8.7094645362,0
203984,8436206979.877497673035,8436206979.894113540649,1.661586761475e-02,8436206979.885805130005,29.0731691078,29005.4406192416,8.3037690970e-03,0.9994987068,0.2622821956,31.5700873074,0
204249,8436207059.005446434021,8436207059.049005508423,4.355907440186e-02,8436207059.027225494385,33.8431290845,4250.1547509113,2.1692650849e-02,0.9960106429,0.2430970802,11.1617192756,0
204298,8436207073.807576179504,8436207073.848717689514,4.114151000977e-02,8436207073.828146934509,25.6879117890,4752.0776642762,2.0515080853e-02,0.9972935290,0.2790298061,13.5643930417,0
204697,8436207193.144826889038,8436207193.179464340210,3.463745117188e-02,8436207193.162145614624,21.0479145186,6689.0869542826,1.7291456523e-02,0.9984254579,0.3082552360,17.7989560747,0
204935,8436207264.183740615845,8436207264.204532623291,2.079200744629e-02,8436207264.194136619568,36.4164578217,18541.7596155173,1.0385789706e-02,0.9990175054,0.2343506420,22.5423776565,0
205068,8436207303.866323471069,8436207303.879785537720,1.346206665039e-02,8436207303.873054504395,32.2530826782,44175.7276852526,6.7285756836e-03,0.9996348790,0.2490172214,36.9953927436,0
205697,8436207492.070865631104,8436207492.113247871399,4.238224029541e-02,8436207492.092056274414,40.7843190619,4494.4967102252,2.1094753963e-02,0.9954525205,0.2214462804,10.4499563449,0
206234,8436207652.448565483093,8436207652.482026100159,3.346061706543e-02,8436207652.465295791626,20.2945117427,7165.6212938998,1.6706599898e-02,0.9985828932,0.3139248491,18.7638409962,0
206595,8436207760.463127136230,8436207760.507618904114,4.449176788330e-02,8436207760.485372543335,22.8773238781,4064.2663826889,2.2183185728e-02,0.9971815814,0.2956734900,13.2911549282,0
207140,8436207923.408759117126,8436207923.424332618713,1.557350158691e-02,8436207923.416545867920,17.1236581068,33002.1962414039,7.7847303982e-03,0.9997405342,0.3417564531,43.8894812759,0
207472,8436208022.696360588074,8436208022.739916801453,4.355621337891e-02,8436208022.718138694763,21.2685483609,4238.1340916404,2.1723392600e-02,0.9974876563,0.3066521919,14.0807553323,0
207709,8436208093.298088073730,8436208093.342061996460,4.397392272949e-02,8436208093.320075035095,28.8256573044,4165.9594798961,2.1910761779e-02,0.9965343285,0.2634058332,11.9800926006,0
208829,8436208428.245248794556,8436208428.282547950745,3.729915618896e-02,8436208428.263898849487,26.6504438778,5776.9699090928,1.8606511047e-02,0.9976907227,0.2739446192,14.6890518260,0
208910,8436208452.389113426208,8436208452.425642013550,3.652858734131e-02,8436208452.407377243042,30.1845524416,6025.6683351897,1.8218490314e-02,0.9974921912,0.2574083480,14.0935287549,0
209155,8436208525.767406463623,8436208525.807575225830,4.016876220703e-02,8436208525.787490844727,26.0539787430,4984.1289392456,2.0031817889e-02,0.9973828810,0.2770626416,13.7949305068,0
209548,8436208643.075668334961,8436208643.117258071899,4.158973693848e-02,8436208643.096463203430,25.1865249986,4650.2493905417,2.0738477775e-02,0.9972882399,0.2817934356,13.5511044956,0
209713,8436208692.641854286194,8436208692.663632392883,2.177810668945e-02,8436208692.652743339539,19.0534430164,16886.5156161343,1.0882908427e-02,0.9994356793,0.3239875078,29.7535054247,0
209945,8436208761.802683830261,8436208761.828819274902,2.613544464111e-02,8436208761.815752029419,72.9480901709,11784.9248174676,1.3027215268e-02,0.9969002209,0.1655800596,12.6709196587,0
209998,8436208777.926106452942,8436208777.968279838562,4.217338562012e-02,8436208777.947193145752,22.7835933187,4520.7173291547,2.1033489142e-02,0.9974769079,0.2962810587,14.0506176747,0
210027,8436208786.525419235229,8436208786.564063072205,3.864383697510e-02,8436208786.544740676880,23.7830279150,5380.8799569514,1.9279170588e-02,0.9977875955,0.2899889337,15.0082888439,0
210091,8436208805.722509384155,8436208805.737834930420,1.532554626465e-02,8436208805.730172157288,23.5866111640,34084.6388224874,7.6601213494e-03,0.9996539395,0.2911938672,38.0011077100,0
210475,8436208920.435175895691,8436208920.454070091248,1.889419555664e-02,8436208920.444622993469,24.8286391233,22434.3806647073,9.4418686722e-03,0.9994464854,0.2838170879,30.0427808205,0
210812,8436209021.099808692932,8436209021.135062217712,3.525352478027e-02,8436209021.117435455322,21.4173942430,6458.4379382174,1.7597511291e-02,0.9983405291,0.3055847535,17.3364085117,0
211115,8436209111.622258186340,8436209111.662129402161,3.987121582031e-02,8436209111.642193794250,35.9651641632,5068.3173670570,1.9864749690e-02,0.9964456454,0.2358163833,11.8289035562,0
211281,8436209161.277023315430,8436209161.315675735474,3.865242004395e-02,8436209161.296349525452,23.4342294732,5378.1522530455,1.9284058996e-02,0.9978189709,0.2921390810,15.1162116432,0
211949,8436209361.051420211792,8436209361.082383155823,3.096294403076e-02,8436209361.066902160645,30.1195159649,8374.7189011678,1.5453607531e-02,0.9982001398,0.2576861066,16.6448065342,0
212246,8436209449.643538475037,8436209449.684760093689,4.122161865234e-02,8436209449.664149284363,41.7607006905,4749.7981042498,2.0520003141e-02,0.9955942446,0.2188422188,10.6178372394,0
212253,8436209451.808700561523,8436209451.851994514465,4.329395294189e-02,8436209451.830347061157,33.9282249620,4302.0372590476,2.1561447542e-02,0.9960489203,0.2427920311,11.2159788897,0
212572,8436209547.208146095276,8436209547.244892120361,3.674602508545e-02,8436209547.226518630981,25.4555989374,5950.1949988940,1.8333669519e-02,0.9978586515,0.2803001550,15.2560803152,0
212681,8436209579.686186790466,8436209579.723365783691,3.717899322510e-02,8436209579.704776763916,27.0227285164,5814.5724676380,1.8546249759e-02,0.9976735866,0.2720510452,14.6346644490,0
213046,8436209688.798140525818,8436209688.817989349365,1.984882354736e-02,8436209688.808065414429,22.6846133441,20328.5005463797,9.9188728928e-03,0.9994418933,0.2969267380,29.9188248932,0
213161,8436209723.249917984009,8436209723.279599189758,2.968120574951e-02,8436209723.264759063721,22.1371350175,9102.9956272528,1.4822546818e-02,0.9987833340,0.3005759932,20.2536241804,0
213270,8436209755.960923194885,8436209755.996804237366,3.588104248047e-02,8436209755.978863716125,31.9536527642,6245.7910150931,1.7894570273e-02,0.9974387050,0.2501812408,13.9450374623,0
213369,8436209785.453837394714,8436209785.489296913147,3.545951843262e-02,8436209785.471567153931,26.9118432185,6389.3609360324,1.7692381144e-02,0.9978917891,0.2726109372,15.3758961907,0
